feature,null_count,dtype,min,max,mean
elo_rating,0,int64,1425.0,2165.0,1782.1458333333333
elo_rank,0,int64,1.0,95.0,34.6875
elo_rating_career_peak,0,int64,1579.0,2223.0,1920.5
elo_rating_career_avg,0,int64,1302.0,1998.0,1670.6875
elo_is_host,0,int64,0.0,1.0,0.0625
confederation,0,object,,,
elo_rank_in_wc_field,0,int64,1.0,48.0,24.479166666666668
fifa_points,0,float64,1275.581062,1876.118331,1580.7652358750001
fifa_points_delta,0,float64,-7.894281999999976,7.894281999999976,0.9605027916666558
fifa_rank_delta,0,int64,-2.0,2.0,0.125
fifa_rank_in_wc_field,0,int64,1.0,48.0,24.5
fifa_points_4yr_change,0,float64,-75.44370299999991,191.600232,64.33690254166665
fifa_rank_4yr_change,0,int64,-16.0,28.0,4.9375
elo_fifa_rank_disagreement,0,int64,0.0,16.0,4.395833333333333
wc_tournaments_attended,0,int64,0.0,22.0,6.666666666666667
wc_win_rate_modern,7,float64,0.0,0.6666666666666666,0.3187326645049827
wc_win_rate_knockout_modern,21,float64,0.0,0.7777777777777778,0.2926513815402704
wc_avg_gf_modern,7,float64,0.3333333333333333,2.0,1.173822893966762
wc_avg_ga_modern,7,float64,0.6666666666666666,3.6666666666666665,1.3737732240091203
wc_gd_per_game_modern,7,float64,-3.0,1.1538461538461537,-0.1999503300423583
wc_clean_sheet_rate_modern,7,float64,0.0,0.48717948717948717,0.24517078342598161
wc_best_result_encoded,0,int64,0.0,6.0,2.7083333333333335
wc_group_vs_knockout_uplift,21,float64,-0.5333333333333333,0.4166666666666667,-0.1624044679600235
wc_debut_modern_flag,0,int64,0.0,1.0,0.14583333333333334
form_win_rate_last10,0,float64,0.3,1.0,0.5791666666666667
form_avg_gf_last10,0,float64,0.8,4.6,2.0208333333333335
form_avg_ga_last10,0,float64,0.0,1.6,0.8729166666666667
form_gd_last10,0,float64,-0.3,4.0,1.1479166666666665
form_clean_sheet_rate_last10,0,float64,0.1,1.0,0.4666666666666666
form_unbeaten_streak_entering,0,int64,0.0,31.0,5.1875
tourn_pts_md2,0,int64,0.0,6.0,2.7083333333333335
tourn_gd_md2,0,int64,-8.0,7.0,0.0
tourn_gf_md2,0,int64,0.0,9.0,2.9375
tourn_ga_md2,0,int64,0.0,9.0,2.9375
tourn_avg_possession,0,float64,25.0,75.5,50.052083333333336
tourn_avg_sot,0,float64,0.5,11.0,4.21875
tourn_sot_conceded,0,float64,0.5,13.5,4.21875
tourn_shot_conversion_rate,0,float64,0.0,0.8571428571428571,0.14652240785178985
tourn_yellow_cards_md2,0,int64,0.0,6.0,2.1875
tourn_formation_changed,4,float64,0.0,1.0,0.5
has_full_tactical_md2,0,int64,0.0,1.0,0.9166666666666666
shootout_win_rate_alltime,0,float64,0.3333333333333333,0.6521739130434783,0.5099950522852135
shootout_appearances_total,0,int64,0.0,28.0,10.5625
shootout_win_rate_wc_only,39,float64,0.0,1.0,0.3952380952380953
shootout_first_shooter_advantage,0,float64,0.0,1.0,0.5184301044135603
shootout_naive_flag,0,int64,0.0,1.0,0.020833333333333332
